Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іванченко,Олена,Михайлівна,Жіноча,31.03.1987,Режисер,місто Залізне,"шосе Остапа Вишні, буд. 9, Нововолинськ, 94580",198-76-76,mykhailyna44@example.org
Андрейко,Софія,Михайлівна,Жіноча,04.11.1957,Антрополог,хутір Торецьк,"набережна Лінія 54-та, буд. 645, Добропілля, 23939",+380 (33) 460-55-06,prokopovychhordii@example.net
Луценко,Ольга,Олександрівна,Жіноча,09.07.2000,Скульптор,місто Вільнянськ,"набережна Кільцева, буд. 95 кв. 17, Соледар, 64383",044 150 01 45,martyn83@example.org
Атрощенко,Маруся,Сергіївна,Жіноча,06.04.1980,Каскадер,селище Боярка,"узвіз Лізи Чайкіної, буд. 318, Красноперекопськ, 08440",+380 92 433 25 09,fbakumenko@example.com
Литвин,Ліза,Іванівна,Жіноча,06.08.1994,Сантехнік,селище Березне,"вулиця Текстильників, буд. 7 кв. 46, Устилуг, 75925",+380 97 706-80-38,lukashamvrosii@example.com
Стельмах,Вікторія,Вікторівна,Жіноча,07.01.2006,Стоматолог,місто Хорол ,"узвіз Житомирський 4-й, буд. 5 кв. 5, Сарни, 17768",+380 (39) 241-66-43,isaienkoavrelii@example.com
Атаманюк,Світлана,Дмитрівна,Жіноча,26.02.1963,Льотчик,село Кобеляки,"провулок Чорноморський 10-й, буд. 2 кв. 2, Мар'їнка, 43207",658-59-98,ldzhun@example.net
Цушко,Єва,Олександрівна,Жіноча,06.12.1959,Публіцист,місто Болград,"площа Пугачова, буд. 49 кв. 475, Пирятин, 73985",+380 91 143-27-27,isaienkomilena@example.org
Засенко,Аніта,Вікторівна,Жіноча,17.04.1957,Економіст,місто Єнакієве,"вулиця Лінія 25-та, буд. 00, Первомайськ, 81388",834 37 38,siukhymenko@example.org
Яремчук,Анжела,Олександрівна,Жіноча,13.02.1982,Дизайнер,селище Лохвиця,"площа Тіниста, буд. 96, Любомль, 20019",+380 40 911 74 88,stetshavrylo@example.org
Вишняк,Камілла,Вікторівна,Жіноча,17.05.2001,Модель,село Заліщики,"сквер Круговий, буд. 361 кв. 13, Баранівка, 05987",010 895 19 28,solomiiachornovil@example.org
Їжак,Амалія,Олександрівна,Жіноча,26.12.1951,Фермер,місто Іловайськ,"парк Круговий, буд. 174, Новоград-Волинський, 18550",045 917 75 04,vira14@example.com
Їжак,Роксолана,Петрівна,Жіноча,13.05.2001,Електромонтер,хутір Апостолове,"шосе Пісочний, буд. 0, Кагарлик, 76079",+380 (83) 722-29-94,viacheslav06@example.org
Іванченко,Орина,Іванівна,Жіноча,29.05.1961,Випробувач,хутір Першотравенськ,"набережна Лінія 53-тя, буд. 3 кв. 42, Єнакієве, 79435",069 102 18 64,vladyslavchornovil@example.org
Товстоліс,Клавдія,Дмитрівна,Жіноча,20.12.1979,Етнограф,село Здолбунів,"провулок Небесної Сотні, буд. 689 кв. 0, Перечин, 47852",483-67-06,dduplii@example.net
Тичина,Сніжана,Петрівна,Жіноча,29.05.1970,Мистецтвознавець,хутір Баранівка,"сквер Полуничний, буд. 70 кв. 5, Сколе, 84120",029 788 81 06,xandriichuk@example.net
Ґереґа,Одарка,Михайлівна,Жіноча,17.06.1993,Круп'є,місто Верхньодніпровськ,"узвіз Павла Шклярука, буд. 709 кв. 3, Немирів, 05616",+380 48 549 05 20,makar70@example.org
Яремчук,Амалія,Федорівна,Жіноча,08.05.1981,Перекладач,хутір Волноваха,"узвіз Богуна, буд. 50 кв. 222, Долина , 15051",943-79-38,batiukdanylo@example.com
Засенко,Орися,Андріївна,Жіноча,11.07.1977,Будник,хутір Гнівань,"узвіз 13-та ст. Великого Фонтану пляж, буд. 488, Привілля, 90263",096 029 58 93,iaroslavshvaika@example.com
Гайдабура,Соломія,Сергіївна,Жіноча,01.09.1952,Єгер,хутір Сєвєродонецьк,"вулиця Тимірязєва 3-й, буд. 0 кв. 63, Українськ, 92000",078-95-92,ltryhub@example.org
Петренко,Камілла,Петрівна,Жіноча,26.10.1959,Палеонтолог,хутір Березівка,"сквер Чорноморський 3-й, буд. 2, Білопілля, 58666",083 615-66-47,kamillabaidak@example.net
Канівець,Ірина,Михайлівна,Жіноча,12.08.1992,Ботанік,село Нове Давидково,"набережна Кредитний, буд. 78 кв. 13, Червоноград, 16050",+380 00 812-32-58,durdynetsihnat@example.org
Височан,Любов,Андріївна,Жіноча,04.04.1969,Сценарист,місто Південне ,"площа Уманська, буд. 29, Миронівка, 13561",+380 41 134-60-51,avramchukstefan@example.net
Стельмах,Володимира,Вікторівна,Жіноча,24.12.1966,Мінералог,хутір Федорівка,"провулок 411-ї батареї, буд. 91 кв. 0, Кам'янка-Дніпровська, 34999",033 63 92,zakharhuk@example.com
Євдокименко,Ліза,Федорівна,Жіноча,07.03.1970,Візажист,село Перемишляни,"набережна Студентський 1-й, буд. 0 кв. 2, Херсон, 72249",+380 (37) 180-74-08,vanchenkoiaroslava@example.org
Вівчаренко,Софія,Олександрівна,Жіноча,31.03.1981,Пекар,хутір Дубровиця,"проспект Михайлівська, буд. 935, Ржищів, 55894",+380 (29) 280-16-12,ousyk@example.org
Кабаненко,Едита,Олександрівна,Жіноча,19.05.1951,Епідеміолог,селище Заводське,"сквер Тимірязєва 4-й, буд. 669 кв. 31, Хрустальний, 54818",852-10-91,nkaras@example.com
Онуфрієнко,Софія,Сергіївна,Жіноча,14.05.1995,Детектив,село Новодністровськ,"сквер Лучиста, буд. 89 кв. 717, Зміїв, 39920",023 780-82-90,abramenkoiakiv@example.net
Демʼянчук,Амалія,Іванівна,Жіноча,14.10.1998,Мірошник,село Родинське,"площа Красний, буд. 127 кв. 238, Чортків, 87111",+380 23 988-46-46,iaremavovk@example.com
Міщенко,Одарка,Петрівна,Жіноча,04.08.1942,Нотаріус,село Збараж,"шосе Черняховського, буд. 770 кв. 066, Горішні Плавні, 43843",855-67-90,adamiashchenko@example.net
Девдюк,Богданна,Петрівна,Жіноча,16.05.1954,Програміст,село Дружба ,"узвіз Водопровідний 2-й, буд. 89, Моршин, 29101",+380 76 458-04-73,viacheslavsirobaba@example.com
Ляшко,Тетяна,Олександрівна,Жіноча,20.10.2006,Електромонтажник,село Здолбунів,"набережна Лінія 36-та, буд. 70, Хмельницький, 25573",+380 87 691-20-30,opanaskozachenko@example.com
Лесик,Богданна,Вікторівна,Жіноча,10.08.1975,Мовознавець,місто Вільногірськ,"провулок Польський узвіз, буд. 95 кв. 8, Кам'янське, 21729",095-23-21,cbezborodko@example.org
Щербак,Єлисавета,Петрівна,Жіноча,24.03.1957,Художник,хутір Золотоноша,"парк Подільська, буд. 62, Мена , 25983",+380 21 681-19-54,azhaivoron@example.org
Цимбал,Ганна,Михайлівна,Жіноча,20.05.1961,Перекладач,село Хрестівка,"вулиця Станційна 3-тя, буд. 34 кв. 97, Генічеськ, 83018",+380 71 231 31 67,opanas87@example.org
Гук,Юстина,Петрівна,Жіноча,24.03.2008,Акушер,селище Лозова ,"площа Водний, буд. 81 кв. 5, Горохів, 14117",+380 (32) 902-75-51,mykyta26@example.org
Яремчук,Віра,Петрівна,Жіноча,25.01.1944,Маркетолог,село Кодима,"провулок Транспортна, буд. 082 кв. 1, Бурштин , 88323",670-69-70,makar85@example.com
Лубенець,Святослава,Олександрівна,Жіноча,14.08.1986,Різноробочий,село Кам'янка (Черкаська область),"проспект Індійська, буд. 9, Сарни, 93233",029 747-87-36,lnosachenko@example.com
Цушко,Ярослава,Андріївна,Жіноча,14.04.1989,Бухгалтер,хутір Рубіжне,"проспект Восьмого Березня Лінія 4-та, буд. 4 кв. 379, Лисичанськ, 21117",257-46-76,pavlokorpaniuk@example.net
Засуха,Лілія,Олександрівна,Жіноча,18.05.1961,Педагог,місто Горішні Плавні,"набережна Строганова, буд. 9 кв. 21, Баштанка, 89686",065 619-80-78,zynovii48@example.com
Франко,Ліза,Михайлівна,Жіноча,16.06.1976,Фрілансер,місто Камінь-Каширський,"шосе Рибальська, буд. 78 кв. 9, Сновськ, 98715",+380 74 976-82-14,solomontsiutsiura@example.net
Вакарчук,Василина,Федорівна,Жіноча,20.04.1951,Різноробочий,місто Житомир,"парк Пляжна, буд. 4, Заставна, 29608",009 071-80-61,suprunenkomartyn@example.org
Артеменко,Марія,Дмитрівна,Жіноча,14.04.1993,Композитор,хутір Гайсин,"вулиця 11-та Лінія Марії Демченко, буд. 474, Помічна, 15036",082 164 90 16,qchubai@example.com
Дробаха,Богуслава,Володимирівна,Жіноча,14.10.1945,Електротехнік,місто Зіньків,"проспект Левітана, буд. 513, Копичинці, 61496",387-51-23,simashkevychleontii@example.net
Джунь,Марʼяна,Михайлівна,Жіноча,20.12.1938,Флорист,хутір Білопілля,"провулок Польський узвіз, буд. 4 кв. 87, Ялта, 36825",+380 83 943-95-06,romansemenchenko@example.org
Ващенко,Аліна,Сергіївна,Жіноча,03.04.1952,Єгер,селище Краматорськ,"шосе Орловський, буд. 914, Новий Буг, 29845",074 040 68 60,simashkevychiustyna@example.com
Шеремета,Одарка,Вікторівна,Жіноча,03.05.1987,Мірошник,хутір Мала Виска,"вулиця Докова, буд. 05, Коломия, 08185",159 28 33,makarkhomenko@example.org
Шморгун,Марина,Петрівна,Жіноча,12.11.2005,Секретар,село Іршава,"узвіз Амбулаторна, буд. 1 кв. 71, Лутугине, 22157",042 216 29 05,lfareniuk@example.org
Левченко,Роксолана,Сергіївна,Жіноча,24.01.1955,Кінокритик,хутір Немирів,"узвіз Набережна, буд. 809, Кропивницький, 02582",+380 (06) 960-44-39,cdanchenko@example.com
Гайда,Аніта,Михайлівна,Жіноча,08.06.1986,Дизайнер,селище Гадяч,"площа Шкільний аеродром, буд. 55 кв. 538, Амвросіївка, 19583",992-12-00,semenbandurka@example.net
Смик,Ольга,Федорівна,Жіноча,01.12.1964,Мікробіолог,селище Новий Буг,"провулок Злакова, буд. 96 кв. 9, Костянтинівка, 80296",206 76 17,iaryna19@example.org
Данько,Михайлина,Михайлівна,Жіноча,17.07.1970,Науковець,село Мирноград,"шосе Луцька, буд. 602 кв. 68, Батурин, 43110",+380 26 266-50-00,labaarkadii@example.com
Скиба,Маруся,Андріївна,Жіноча,30.12.2006,Мікробіолог,селище Молодогвардійськ,"сквер Танфільєва, буд. 173 кв. 0, Хирів, 75752",+380 22 830-24-04,oles36@example.net
Іваненко,Данна,Іванівна,Жіноча,29.05.1993,Кінокритик,село Вознесенськ,"площа Золотий берег, буд. 6, Зборів, 41517",+380 27 472 92 32,ldutka@example.com
Баранник,Альбіна,Федорівна,Жіноча,09.07.1968,Ріелтор,селище Боярка,"сквер Магістральна, буд. 475 кв. 74, Лиман , 62808",+380 27 155-11-54,illia21@example.com
Яременко,Лілія,Олександрівна,Жіноча,09.08.2008,Нотаріус,хутір Оріхів,"вулиця Генуезька, буд. 818 кв. 810, Лозова , 93332",+380 (60) 147-47-64,heorhii62@example.net
Канівець,Одарка,Вікторівна,Жіноча,30.04.1980,Астрофізик,хутір Вінниця,"провулок Радіальний, буд. 21 кв. 0, Нове Давидково, 31218",192 23 57,spas79@example.net
Сиротенко,Ада,Іванівна,Жіноча,20.06.1997,М'ясник,місто Мостиська,"парк Таїрова, буд. 7, Запоріжжя, 12564",029 223-10-11,zchaika@example.org
Гоголь,Едита,Дмитрівна,Жіноча,29.04.1983,Математик,село Каховка,"провулок Регенсбург, буд. 02 кв. 880, Житомир, 92902",+380 40 543 74 56,zorian02@example.net
Дзиндра,Галина,Федорівна,Жіноча,27.10.1984,Актор,хутір Благовіщенське,"шосе Сашка Хорошенка, буд. 36, Татарбунари, 13438",+380 95 333-50-43,spassyrotenko@example.org
Цибуленко,Богданна,Вікторівна,Жіноча,23.12.1985,Золотар,селище Глобине,"узвіз 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 2 кв. 370, Лебедин, 77676",+380 58 712 87 36,nesterenkoliliia@example.org
Ґереґа,Людмила,Петрівна,Жіноча,08.09.1952,Випробувач,село Шепетівка,"узвіз Гена Іоганна, буд. 212 кв. 740, Герца, 39021",059 429-50-10,eduardzaichenko@example.net
Яковенко,Розалія,Олександрівна,Жіноча,11.04.1939,Архітектор,хутір Кам'янка-Бузька,"проспект Кримська, буд. 0, Валки , 35644",069 098 55 58,serhii23@example.net
Вернигора,Лариса,Андріївна,Жіноча,27.08.1943,Круп'є,селище Запоріжжя,"сквер Регенсбург, буд. 5 кв. 6, Почаїв, 84744",+380 54 449-19-49,ddutka@example.com
Вахній,Богуслава,Петрівна,Жіноча,11.03.2001,Скульптор,село Ковель,"узвіз Іванова 1-й, буд. 201, Новгород-Сіверський, 15070",874-31-12,vasyl35@example.com
Баран,Ада,Олександрівна,Жіноча,06.12.1985,Конструктор,село Кремінна,"площа Строганов міст, буд. 678 кв. 6, Генічеськ, 20092",067 923-67-10,amaliiamykhailiuk@example.net
Дутка,Ірина,Сергіївна,Жіноча,08.03.1958,Скульптор,місто Тернівка ,"провулок Грузовий, буд. 039 кв. 1, Заліщики, 40110",+380 49 838-94-13,tsushkodaryna@example.net
Шаповал,Сніжана,Михайлівна,Жіноча,19.08.1971,Фрілансер,місто Василівка ,"провулок Пушкінська, буд. 50 кв. 28, Благовіщенське, 41030",+380 27 997-95-02,lukianchaika@example.com
Кириленко,Марина,Петрівна,Жіноча,02.06.1988,Геолог,хутір Харків,"провулок Слобідський узвіз, буд. 72 кв. 3, Городня, 50456",+380 09 004 25 00,qpanchuk@example.org
Перепелиця,Лілія,Федорівна,Жіноча,19.06.1963,Локсмайстер,хутір Світловодськ,"вулиця Перлинна, буд. 450 кв. 652, Новоград-Волинський, 18996",092 026 55 97,mnalyvaiko@example.net
Байда,Пріска,Петрівна,Жіноча,14.09.1964,Ріелтор,селище Алушта,"узвіз Павла Шклярука, буд. 514 кв. 0, Шаргород, 64114",834-56-31,mykhailyna85@example.net
Карась,Варвара,Андріївна,Жіноча,03.11.1997,Каскадер,хутір Бучач,"проспект Скидановський узвіз, буд. 49, Саки , 68260",077 895-87-74,babiukhlib@example.org
Бебешко,Богданна,Володимирівна,Жіноча,09.10.1966,Краєзнавець,хутір Бучач,"вулиця Утьосова, буд. 0 кв. 4, Кривий Ріг, 12335",938 05 52,osvyrydenko@example.org
Ткаченко,Варвара,Іванівна,Жіноча,01.12.1968,Дизайнер,село Запоріжжя,"провулок Новгородська, буд. 2, Дубляни, 40490",094 811 85 19,myrondemydenko@example.net
Балабан,Богданна,Вікторівна,Жіноча,09.05.1948,Клавішник,місто Львів,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 433 кв. 1, Богуслав, 23945",+380 58 899 53 49,tdziuba@example.com
Сацюк,Клавдія,Федорівна,Жіноча,07.06.1939,Машиніст,хутір Вараш,"проспект Коцебу міст, буд. 46, Ворожба, 08064",607 79 49,nfranchuk@example.com
Удовенко,Надія,Володимирівна,Жіноча,21.01.1951,Електрик,місто Олешки,"шосе Черняховського, буд. 44, Комарно, 33290",309-25-78,vumanets@example.net
Баранник,Еріка,Андріївна,Жіноча,09.11.1989,Астрофізик,село Чугуїв,"площа Ціолковського, буд. 73, Христинівка, 47504",+380 (29) 609-03-21,lizasmyk@example.net
Вишняк,Тетяна,Іванівна,Жіноча,11.12.1980,Етнограф,хутір Івано-Франківськ,"набережна Сортувальна 1-ша, буд. 66 кв. 925, Кіцмань, 07403",403 78 85,doliinyk@example.com
Сіробаба,Христина,Олександрівна,Жіноча,22.09.1980,Менеджер,місто Корець,"вулиця Толбухіна, буд. 31, Соснівка , 83246",+380 (61) 501-05-25,zoriansheremeta@example.com
Ґжицький,Данна,Сергіївна,Жіноча,14.07.2005,Штукатур,хутір Рені,"набережна Герцена, буд. 7 кв. 6, Благовіщенське, 22907",323 61 64,ielyseiandriishyn@example.net
Ґалаґан,Ірена,Володимирівна,Жіноча,18.10.1987,Няня,селище Борщів,"узвіз Лютнева, буд. 637 кв. 74, Рудки, 64842",+380 (93) 886-99-72,hennadii53@example.net
Романенко,Тереза,Дмитрівна,Жіноча,12.01.1992,Клавішник,село Ходорів,"парк Золотий берег, буд. 24, Косів, 09756",+380 44 256-31-46,varfolomii42@example.net
Орлик,Едита,Петрівна,Жіноча,01.06.1981,Графік,хутір Борислав,"набережна Стахановський 4-й, буд. 2, Вуглегірськ, 68370",+380 63 291-49-43,wbakumenko@example.org
Ткач,Єлисавета,Дмитрівна,Жіноча,17.05.2004,Вчитель,село Перевальськ,"сквер Просьолочна, буд. 65 кв. 94, Моршин, 60697",+380 34 267-81-82,onishchukzorian@example.org
Вакуленко,Віра,Олександрівна,Жіноча,15.02.1954,Фрілансер,місто Трускавець,"набережна Академіка Воробйова, буд. 7, Шепетівка, 28042",019 915-38-57,borys26@example.com
Зайченко,Віра,Володимирівна,Жіноча,12.06.1961,Літературознавець,селище Південне ,"провулок Деревообробний 1-й, буд. 75 кв. 3, Корсунь-Шевченківський, 41965",+380 (26) 439-97-92,olhababak@example.net
Сомко,Еріка,Сергіївна,Жіноча,27.02.1987,Історик,місто Балаклія,"узвіз Камишова, буд. 5, Мелітополь, 09141",+380 49 887 37 53,antonartiushenko@example.com
Твердохліб,Анжела,Петрівна,Жіноча,12.01.2007,Ді-джей,хутір Бровари,"площа Успенська, буд. 44 кв. 979, Бунге , 88897",047 211 74 54,tsushkohalyna@example.net
Василенко,Еріка,Сергіївна,Жіноча,23.01.1995,Юрист,селище Сніжне,"сквер Фабрична, буд. 8 кв. 05, Краматорськ, 75739",+380 (35) 538-60-85,udovychenkoodarka@example.com
Чабан,Варвара,Вікторівна,Жіноча,30.04.1970,Живописець,місто Залізне,"сквер Леонтовича, буд. 3 кв. 065, Алмазна, 65927",+380 58 485 73 38,ieva59@example.org
Вітер,Марина,Іванівна,Жіноча,06.04.1973,Режисер,село Тульчин,"провулок Івана Вазова, буд. 426 кв. 86, Камінь-Каширський, 96902",961-78-17,andriihaidai@example.net
Рябовіл,Клавдія,Вікторівна,Жіноча,01.03.2002,Нотаріус,місто Берислав,"набережна Чорноморський 1-й, буд. 056, Сватове, 56625",536-79-16,skopenkoillia@example.org
Дерегус,Надія,Сергіївна,Жіноча,09.05.1984,Астронавт,хутір Прилуки,"узвіз Лінія 53-тя, буд. 717, Бурштин , 64570",+380 74 867-98-86,zynovii66@example.net
Іщенко,Єлисавета,Дмитрівна,Жіноча,11.03.1938,Няня,хутір Приморськ (Україна),"провулок Ясна, буд. 59, Світлодарськ, 54806",+380 74 608-21-73,fbazavluchenko@example.net
Бандура,Тереза,Федорівна,Жіноча,06.07.1979,Журналіст,село Заліщики,"вулиця Азовський, буд. 047, Брянка, 24480",+380 03 187 89 51,orudko@example.com
Дурдинець,Розалія,Вікторівна,Жіноча,20.07.1950,Кушнір,місто Шостка,"узвіз Мечникова, буд. 077, Вінниця, 91007",662-38-97,ddavydenko@example.org
Запорожець,Клавдія,Олександрівна,Жіноча,16.03.1973,Візажист,селище Свалява,"вулиця Гаріна, буд. 6 кв. 781, Яготин, 12657",+380 57 703-57-62,maksympelekh@example.com
Байдак,Людмила,Андріївна,Жіноча,13.03.1958,Шериф,село Рубіжне,"набережна Лазурний 6-й, буд. 152, Переяслав, 68322",950-89-77,varfolomii39@example.org
Заїка,Галина,Михайлівна,Жіноча,11.05.1939,Педагог,місто Зоринськ,"узвіз Світлий, буд. 954 кв. 1, Прип'ять , 76196",022-49-40,fverhun@example.org
Перепелиця,Марта,Володимирівна,Жіноча,30.04.1940,Електрослюсар,селище Джанкой,"площа Педагогічна, буд. 97 кв. 17, Пустомити, 38039",+380 52 944 15 81,banderaarsen@example.org
Їжакевич,Марʼяна,Іванівна,Жіноча,26.08.2004,Юрист,село Докучаєвськ,"проспект Восьмого березня 9-й, буд. 54 кв. 680, Костопіль, 45936",+380 (57) 558-81-43,iustynaprymachenko@example.com
Рябошапка,Вікторія,Володимирівна,Жіноча,20.02.1948,Бухгалтер,хутір Долина ,"площа Дачна, буд. 1, Ічня, 69852",006 647-84-80,dubenkoada@example.com
Деревʼянко,Дарина,Іванівна,Жіноча,01.11.1980,Етнограф,село Жовква,"узвіз Скляний 3-й, буд. 4 кв. 2, Комарно, 25989",+380 23 019 12 25,omelian14@example.org
Вітрук,Данна,Петрівна,Жіноча,22.02.1997,Льотчик,хутір Чугуїв,"площа Різовська, буд. 2 кв. 8, Любомль, 63928",+380 60 632-17-88,tsiupapanteleimon@example.org
Єресько,Ліза,Олександрівна,Жіноча,07.04.2007,Математик,село Ржищів,"провулок Лінійний, буд. 0 кв. 073, Новий Буг, 80993",020 589-57-10,anzhela99@example.net
Саєнко,Варвара,Іванівна,Жіноча,09.10.1955,Реставратор,селище Верхньодніпровськ,"площа Зоряна, буд. 371, Мена , 47928",+380 39 362-73-02,nestaikobohuslava@example.net
Рак,Анастасія,Вікторівна,Жіноча,04.12.1951,Скульптор,село Копичинці,"сквер Кленова, буд. 6 кв. 82, Рубіжне, 45140",+380 (47) 842-21-34,iustynaaverchenko@example.com
Теличенко,Одарка,Федорівна,Жіноча,13.10.1974,Локсмайстер,селище Боково-Хрустальне,"шосе Ракетна, буд. 636 кв. 1, Новояворівськ, 44356",+380 25 015-62-16,vlokholeksandr@example.net
Базилевський,Михайлина,Федорівна,Жіноча,24.03.1947,Футболіст,місто Малин,"вулиця Хвойний, буд. 2 кв. 683, Малин, 91136",+380 59 071-53-61,pavlo38@example.org
Самойленко,Орися,Іванівна,Жіноча,04.12.1949,Кінорежисер,селище Очаків,"вулиця Тиха, буд. 31 кв. 89, Донецьк, 96809",+380 80 072-40-40,ostap86@example.org
Притула,Ярина,Дмитрівна,Жіноча,03.05.1987,Співак,місто Сорокине,"парк Красних Зорь, буд. 065 кв. 1, Кременець, 40104",030 661 71 57,tereza64@example.com
Гаєвський,Ярина,Дмитрівна,Жіноча,01.07.1967,Пекар,село Макіївка,"узвіз Шовкуненка, буд. 680 кв. 274, Дебальцеве, 31295",059 310-21-54,zlatoslava65@example.org
Цюцюра,Аніта,Вікторівна,Жіноча,12.09.1985,Економіст,місто Андрушівка,"сквер Сталепрокатна, буд. 059, Помічна, 57851",+380 89 000 54 86,myroslavbevzenko@example.net
Шутько,Оксенія,Федорівна,Жіноча,03.11.2001,Реставратор,місто Старокостянтинів,"вулиця Церковна, буд. 4 кв. 701, Березівка, 61884",061 709 26 93,paliimariia@example.org
Бабійчук,Розалія,Петрівна,Жіноча,24.08.1995,Доцент,селище Гола Пристань,"площа Єліна, буд. 630 кв. 199, Косів, 58308",057 998-61-59,olhavlasenko@example.org
Алексеєнко,Розалія,Михайлівна,Жіноча,12.05.1973,Стропальник,хутір Путивль,"набережна Шкіперська, буд. 611 кв. 673, Антрацит , 29192",+380 95 645-07-69,mchaika@example.com
Оліфіренко,Богуслава,Федорівна,Жіноча,02.09.1957,Провізор,селище Костянтинівка,"вулиця Лінія 22-га, буд. 380, Петрово-Красносілля, 69294",+380 (55) 585-85-81,pylypzabara@example.com
Павличенко,Надія,Володимирівна,Жіноча,09.10.1970,Кушнір,селище Бердичів,"парк Маршала Малиновського, буд. 2, Новоазовськ, 66598",066 382 38 35,oandriienko@example.org
Чабан,Богданна,Вікторівна,Жіноча,02.11.1964,Ріелтор,хутір Березань ,"набережна Онезька, буд. 95, Охтирка, 38545",086 281-87-47,ruslanartymyshyn@example.org
Ґереґа,Юстина,Федорівна,Жіноча,27.09.1960,Мірошник,село Красноград,"набережна Моторний 2-й, буд. 5 кв. 523, Ходорів, 54932",+380 46 056-79-10,havryloshylo@example.net
Доценко,Анжела,Дмитрівна,Жіноча,26.05.1979,Ботанік,хутір Ржищів,"набережна Будівельна, буд. 3, Радехів, 94190",+380 15 469 79 90,vitaliizinchuk@example.org
Нестеренко,Анастасія,Петрівна,Жіноча,12.05.1941,Модель,село Великі Мости,"вулиця Новікова 2-га, буд. 64 кв. 305, Кремінна, 71125",+380 44 429-08-21,zlahoda@example.com
Івасюк,Ярослава,Петрівна,Жіноча,06.05.2002,Локсмайстер,місто Шостка,"набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 5 кв. 2, Кам'янське, 99133",026 580 38 38,boryslav12@example.org
Жаліло,Еріка,Іванівна,Жіноча,06.08.2001,Професор,селище Слов'янськ,"сквер Пугачова, буд. 7, Вилкове, 89837",925-22-35,liubov83@example.org
Удовенко,Софія,Сергіївна,Жіноча,30.05.1957,Патологоанатом,хутір Олевськ,"сквер Желябова, буд. 74 кв. 01, Кременець, 81180",091 997-98-22,ihortkach@example.org
Ващук,Валентина,Володимирівна,Жіноча,10.09.1965,Ріелтор,місто Кролевець,"провулок Зоринська, буд. 89 кв. 0, Перещепине, 31282",034 902 76 42,habelkoielysaveta@example.com
Хмара,Тереза,Вікторівна,Жіноча,10.05.1957,Секретар,селище Петрово-Красносілля,"шосе Достоєвського, буд. 3 кв. 4, Зугрес, 81028",096 359-63-26,gshynkarenko@example.com
Демиденко,Лариса,Олександрівна,Жіноча,08.12.1991,Петрограф,хутір Верхівцеве,"проспект Книжковий, буд. 8 кв. 6, Бровари, 37339",+380 90 199 50 56,zabashtaokhrim@example.net
Шморгун,Ольга,Андріївна,Жіноча,21.01.1998,Кінокритик,селище Жашків,"сквер Лінія 49-та, буд. 142 кв. 080, Ужгород, 78145",072 878-03-27,derehusvolodymyra@example.com
Кабаненко,Емілія,Дмитрівна,Жіноча,22.06.1991,Шериф,місто Красноград,"площа Терещенка Володимира, буд. 194 кв. 09, Гола Пристань, 95655",038 422-32-72,kzaichenko@example.com
Товстуха,Златослава,Володимирівна,Жіноча,11.02.1996,Гінеколог,село Носівка,"сквер 10-та Суворовська, буд. 4, Хрустальний, 23755",+380 (14) 161-85-90,havryletsmyron@example.org
Усик,Єва,Володимирівна,Жіноча,07.07.1990,Випробувач,місто Моспине,"провулок Соляний 7-й, буд. 04, Мелітополь, 01930",964 27 04,ievtushenkomarusia@example.com
Деряжний,Розалія,Андріївна,Жіноча,09.07.1948,Ветеринар,хутір Лутугине,"провулок Прохоровський, буд. 71, Золочів, 38655",+380 (55) 732-58-51,hryhoriikorpaniuk@example.net
Ґалаґан,Віра,Іванівна,Жіноча,28.12.1945,Антрополог,місто Новодністровськ,"провулок Давида Ойстраха, буд. 09 кв. 8, Ірпінь, 42044",+380 11 721-38-08,ivasiukokseniia@example.com
Василенко,Тереза,Андріївна,Жіноча,19.06.1940,Юрист,місто Нове Давидково,"площа Соляний 3-й, буд. 94 кв. 6, Кропивницький, 36695",518 90 33,cgoliash@example.org
Оберемко,Василина,Іванівна,Жіноча,30.01.1961,Няня,хутір Кам'янка (Черкаська область),"проспект Моторний 3-й, буд. 952 кв. 30, Хмільник, 64040",+380 17 570-45-20,dan55@example.org
Сомко,Орина,Федорівна,Жіноча,07.05.1992,Стропальник,селище Суми,"парк Станційна 3-тя, буд. 86 кв. 97, Севастополь, 99426",+380 02 874-33-40,trokhymhohol-ianovskyi@example.org
Ященко,Святослава,Сергіївна,Жіноча,17.07.1976,Клавішник,село Бучач,"парк Трамвайна, буд. 8, Вуглегірськ, 43896",040 963 97 56,volodymyr51@example.com
Їжакевич,Орися,Сергіївна,Жіноча,14.03.1955,Модель,селище Радехів,"парк Москеті, буд. 104 кв. 321, Інкерман, 47840",001 260 78 90,zatulairena@example.org
Христич,Марина,Іванівна,Жіноча,17.11.1993,Медик,село Мерефа,"провулок Чорноморський 13-й, буд. 2, Суми, 30265",071 102 52 76,kostiantynishchenko@example.net
Масоха,Клавдія,Федорівна,Жіноча,07.08.1945,Живописець,село Жданівка,"вулиця Макарова, буд. 2, Полонне, 22411",342-76-89,liudmyla04@example.org
